decimalLatitude,decimalLongitude,year
-41.5090,145.2132,1973
-41.5250,145.2190,1973
-41.5090,145.2132,1974
-43.0575,147.3292,1974
-43.0828,146.9992,1974
-42.9255,147.3395,1974
-42.8439,147.3464,1974
-42.9267,147.3581,1974
-41.6216,148.2209,1974
-41.5250,145.2190,1974
-42.9052,147.3381,1975
-42.9255,147.3395,1975
-41.2736,145.6150,1975
-41.2203,145.5514,1975
-41.2281,145.5503,1975
-41.4256,145.5953,1975
-41.3594,145.5833,1975
-41.4486,145.4400,1975
-42.9575,147.2697,1975
-43.1375,146.7581,1975
-41.5344,148.1753,1975
-41.6022,148.2050,1975
-41.6567,148.2433,1975
-41.5069,148.2714,1975
-41.5582,148.1106,1975
-41.5411,148.1894,1975
-43.1329,146.7564,1975
-43.4619,146.8481,1976
-41.1086,144.9592,1976
-40.8453,145.0911,1976
-41.1511,145.0195,1976
-41.1495,145.0314,1976
-41.1539,145.0156,1976
-41.1550,145.0292,1976
-41.1431,145.0317,1976
-40.8369,145.1158,1976
-41.0911,144.9892,1976
-40.9503,144.8236,1976
-40.7781,144.8564,1976
-41.0061,144.9903,1976
-41.0972,145.2544,1976
-41.4297,145.4597,1977
-41.4272,145.4647,1977
-41.4667,145.3575,1977
-41.4486,145.4400,1977
-40.9531,144.8269,1977
-41.0061,144.9903,1977
-41.3756,145.2331,1977
-41.2425,145.3342,1977
-41.2669,145.3322,1977
-41.0456,144.8994,1977
-41.4303,145.5997,1977
-40.8258,145.0228,1977
-41.0592,145.0164,1977
-41.1086,144.9592,1978
-41.0842,145.3764,1978
-41.7292,145.4864,1978
-42.3497,147.0183,1978
-42.1533,146.7714,1978
-41.5581,148.1167,1978
-41.5583,148.0925,1978
-41.5344,148.1753,1978
-41.0014,144.9528,1979
-40.9161,145.0231,1982
-41.0917,145.0189,1982
-40.9156,144.9944,1982
-40.9856,144.8831,1982
-40.9742,144.9417,1983
-40.7631,144.8806,1983
-40.7694,144.8833,1983
-41.3606,146.7789,1983
-41.2550,146.6419,1983
-41.5908,146.6353,1983
-41.0142,144.9617,1983
-41.3456,147.6553,1983
-41.3494,147.7269,1983
-41.3483,147.6492,1983
-41.3517,147.6947,1983
-41.3592,147.6339,1983
-41.2458,147.4214,1983
-41.2731,145.0397,1983
-41.3833,145.0711,1983
-41.2936,145.0356,1983
-41.3464,145.0708,1983
-40.9250,145.0228,1983
-41.5403,146.6058,1983
-41.7450,146.7092,1983
-41.7667,146.7139,1983
-41.7389,146.6983,1983
-41.7378,146.7092,1983
-41.2628,144.9122,1983
-41.2556,144.9161,1983
-40.8586,144.8811,1983
-40.8856,144.8375,1983
-40.8489,144.8969,1983
-40.8572,144.9061,1983
-40.8606,144.8833,1983
-42.3689,145.6594,1983
-42.3719,145.6678,1983
-42.3108,145.6156,1983
-41.9186,145.5108,1983
-41.9214,145.5144,1983
-41.9342,145.4647,1983
-41.8956,145.2728,1983
-41.9478,145.5378,1983
-41.9656,145.5256,1983
-41.9700,145.5206,1983
-41.4806,145.4825,1983
-41.3569,145.6003,1983
-41.3581,145.6314,1983
-41.6189,145.6714,1983
-41.7272,145.4744,1983
-42.2050,145.4400,1983
-42.2150,145.4361,1983
-41.1864,145.3031,1984
-41.3486,147.5764,1984
-41.3317,147.5367,1984
-41.0067,144.9536,1984
-40.9742,144.9417,1984
-41.1522,145.0303,1984
-40.7475,145.2922,1984
-40.8306,145.1300,1984
-40.8367,145.1261,1984
-40.9797,144.6658,1984
-40.9419,144.6267,1984
-41.1844,145.3047,1984
-41.2000,145.0419,1984
-41.1944,145.5764,1984
-41.2008,145.0394,1984
-40.7786,145.0550,1984
-41.2317,145.3297,1984
-40.8278,145.1336,1984
-41.2000,145.0406,1984
-40.9547,144.9664,1984
-41.0592,145.0164,1984
-40.8469,145.0975,1984
-40.0389,144.0208,1984
-39.9264,144.0653,1984
-39.9108,144.0906,1984
-39.9169,144.0844,1984
-41.1069,144.9756,1984
-41.0819,145.3703,1984
-41.2872,146.3817,1984
-43.0836,147.9167,1984
-43.1367,147.9286,1984
-43.1375,147.9383,1984
-42.9758,147.9053,1984
-43.1003,147.8789,1984
-42.9592,147.8486,1984
-43.1117,147.9047,1984
-43.0342,147.9086,1984
-43.0442,147.9086,1984
-41.1117,144.9861,1984
-41.1239,144.9619,1984
-41.2236,147.8281,1984
-41.3183,148.1233,1984
-41.2375,148.1075,1984
-41.3992,147.9750,1984
-41.1864,145.3058,1984
-43.1231,146.7494,1984
-43.1294,146.7531,1984
-43.2300,146.6678,1984
-43.0211,146.6589,1984
-43.1850,146.6631,1984
-43.1989,146.7711,1984
-43.2142,146.7600,1984
-41.2786,147.2342,1984
-41.2822,147.2569,1984
-41.2831,147.2581,1984
-41.2850,147.2472,1984
-41.3672,147.4294,1984
-41.3744,147.4258,1984
-41.3753,147.4236,1984
-41.3789,147.4247,1984
-41.5025,147.6147,1984
-41.5078,147.6508,1984
-41.5086,147.6556,1984
-41.5292,147.6619,1984
-41.1567,145.0278,1985
-41.0792,145.4478,1985
-41.2294,147.8878,1985
-41.1847,148.0733,1985
-40.9483,144.9686,1985
-41.0156,145.0556,1985
-41.0786,145.0025,1985
-40.7461,145.2672,1985
-42.0867,146.4911,1985
-42.0444,146.5300,1985
-42.0203,146.5689,1985
-41.8619,146.5906,1985
-41.6542,146.3011,1985
-41.6825,146.3825,1985
-41.7353,148.2314,1985
-41.6992,148.2344,1985
-41.6436,148.2875,1985
-41.9419,145.5597,1986
-41.9094,145.1903,1986
-42.8969,147.3297,1986
-43.0828,147.9264,1986
-41.1678,147.1800,1986
-42.5731,147.0294,1986
